Visitor,TS_Design_Selected,TS_Design_Name,TS_Reward,TS_Regret,TS_Cumul_Reward,Random_Design_Selected,Random_Reward,Random_Regret,Random_Cumul_Reward
148,2,"Social proof — 4,200 reviews",0,0.25000000000000006,59,4,1,0.0,49
149,4,Free shipping + money-back,0,0.0,59,0,0,0.35000000000000003,49
150,1,Urgency — 'Only 12 left!',1,0.20000000000000007,60,2,1,0.25000000000000006,50
151,4,Free shipping + money-back,1,0.0,61,4,1,0.0,51
152,4,Free shipping + money-back,1,0.0,62,2,0,0.25000000000000006,51
153,4,Free shipping + money-back,0,0.0,62,3,1,0.10000000000000003,52
154,2,"Social proof — 4,200 reviews",1,0.25000000000000006,63,0,0,0.35000000000000003,52
155,4,Free shipping + money-back,1,0.0,64,0,1,0.35000000000000003,53
156,4,Free shipping + money-back,1,0.0,65,1,1,0.20000000000000007,54
157,2,"Social proof — 4,200 reviews",0,0.25000000000000006,65,1,0,0.20000000000000007,54
158,1,Urgency — 'Only 12 left!',1,0.20000000000000007,66,2,0,0.25000000000000006,54
159,4,Free shipping + money-back,0,0.0,66,3,1,0.10000000000000003,55
160,2,"Social proof — 4,200 reviews",1,0.25000000000000006,67,2,1,0.25000000000000006,56
161,4,Free shipping + money-back,1,0.0,68,4,1,0.0,57
162,4,Free shipping + money-back,1,0.0,69,0,0,0.35000000000000003,57
163,4,Free shipping + money-back,1,0.0,70,2,0,0.25000000000000006,57
164,4,Free shipping + money-back,1,0.0,71,2,1,0.25000000000000006,58
165,4,Free shipping + money-back,0,0.0,71,0,0,0.35000000000000003,58
166,4,Free shipping + money-back,1,0.0,72,0,1,0.35000000000000003,59
167,4,Free shipping + money-back,1,0.0,73,1,1,0.20000000000000007,60
168,4,Free shipping + money-back,1,0.0,74,1,0,0.20000000000000007,60
169,4,Free shipping + money-back,1,0.0,75,0,0,0.35000000000000003,60
170,4,Free shipping + money-back,1,0.0,76,2,0,0.25000000000000006,60
171,4,Free shipping + money-back,1,0.0,77,4,1,0.0,61
172,4,Free shipping + money-back,0,0.0,77,2,0,0.25000000000000006,61
173,4,Free shipping + money-back,1,0.0,78,4,1,0.0,62
174,2,"Social proof — 4,200 reviews",1,0.25000000000000006,79,0,0,0.35000000000000003,62
175,4,Free shipping + money-back,0,0.0,79,4,0,0.0,62
176,4,Free shipping + money-back,0,0.0,79,1,0,0.20000000000000007,62
177,1,Urgency — 'Only 12 left!',1,0.20000000000000007,80,0,0,0.35000000000000003,62
178,1,Urgency — 'Only 12 left!',0,0.20000000000000007,80,3,1,0.10000000000000003,63
179,4,Free shipping + money-back,1,0.0,81,4,1,0.0,64
180,4,Free shipping + money-back,1,0.0,82,4,1,0.0,65
181,2,"Social proof — 4,200 reviews",0,0.25000000000000006,82,3,0,0.10000000000000003,65
182,4,Free shipping + money-back,0,0.0,82,3,0,0.10000000000000003,65
183,4,Free shipping + money-back,0,0.0,82,0,1,0.35000000000000003,66
184,4,Free shipping + money-back,1,0.0,83,2,0,0.25000000000000006,66
185,2,"Social proof — 4,200 reviews",0,0.25000000000000006,83,3,0,0.10000000000000003,66
186,4,Free shipping + money-back,0,0.0,83,4,0,0.0,66
187,4,Free shipping + money-back,1,0.0,84,3,0,0.10000000000000003,66
188,4,Free shipping + money-back,0,0.0,84,0,0,0.35000000000000003,66
189,4,Free shipping + money-back,0,0.0,84,0,0,0.35000000000000003,66
190,1,Urgency — 'Only 12 left!',1,0.20000000000000007,85,4,0,0.0,66
191,2,"Social proof — 4,200 reviews",0,0.25000000000000006,85,4,0,0.0,66
192,1,Urgency — 'Only 12 left!',0,0.20000000000000007,85,4,0,0.0,66
193,4,Free shipping + money-back,1,0.0,86,2,0,0.25000000000000006,66
194,4,Free shipping + money-back,0,0.0,86,4,0,0.0,66
195,4,Free shipping + money-back,0,0.0,86,0,0,0.35000000000000003,66
196,4,Free shipping + money-back,1,0.0,87,0,0,0.35000000000000003,66
197,4,Free shipping + money-back,1,0.0,88,3,1,0.10000000000000003,67
198,4,Free shipping + money-back,1,0.0,89,4,1,0.0,68
199,4,Free shipping + money-back,1,0.0,90,2,0,0.25000000000000006,68
